Entidade detentora das participacoes,Tipo,Denominacoes,% Participacao/ interesse economico,Custo de Aquisicao,Ano aquisicao,Capital Social/Moeda,Accoes/Quotas (Total Entidade),N  de Accoes/Quotas detidas,Transaccoes,Emprestimos,Outros,Ano referencia,Entidade,Doc
Portugal Ventures,FCR,FCR Critical Ventures I,17.86,,,7000000,,125020000,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Ventures Global 2,50,,,23184722,,11592361,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Ventures Grandes Projectos de Investimento,7.99,,,633722.942,,5877278,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Turismo Inovacao,50,,,6000000,,300000000,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR FIEP,0,,,19400000,,0,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Ventures Finicia,30,,,4000000,,120000000,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Ventures FIAEA,9.09,,,1103109,,10027261,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR - DINAMIZAcaO TURiSTICA,,,,,,,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR PORTUGAL VENTURES TURISMO,,,,,,,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR FAI Energias,,,,,,,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
IAPMEI,FCR,FCR Fast Change - FAST CHANGE - Fundo de Capital de Risco,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FCR PME / Novo Banco - FCR PME / Novo Banco - Fundo de Capital de Risco para Investidores Qualificados,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FINOVA - FINOVA - Fundo de Apoio ao Financiamento a Inovacao,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
